City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,kenai,60.5544,-151.2583,9.05,96,100,2.57,US,1723350747
244,kavieng,-2.5744,150.7967,28.05,77,17,2.84,PG,1723350748
245,canico,32.6333,-16.85,23.17,86,40,2.57,PT,1723350750
246,ciudad lazaro cardenas,17.9583,-102.2,24.99,88,99,1.96,MX,1723350752
247,necochea,-38.5473,-58.7368,7.36,75,29,7.45,AR,1723350753
248,nosy varika,-20.5833,48.5333,20.48,88,86,1.72,MG,1723350754
249,nizhnevartovsk,60.9344,76.5531,15.01,82,20,3.0,RU,1723350756
250,morant bay,17.8815,-76.4093,29.79,86,6,4.25,JM,1723350757
251,broome,42.2506,-75.833,15.56,73,19,1.31,US,1723350758
252,saipan,15.1355,145.701,33.39,66,40,3.09,MP,1723350759
253,yefremov,53.1481,38.0992,18.42,79,70,5.43,RU,1723350761
254,choyr,46.3611,108.3611,23.88,35,99,0.56,MN,1723350762
255,vorkuta,67.5,64.0,17.41,57,87,4.63,RU,1723350763
256,bubaque,11.2833,-15.8333,24.81,92,100,7.04,GW,1723350765
257,uttar char fasson,22.2332,90.7132,29.62,75,98,5.96,BD,1723350767
258,catriel,-37.8791,-67.7956,10.14,35,13,10.43,AR,1723350768
259,dwarka,22.2394,68.9678,27.88,82,99,8.82,IN,1723350769
260,karlskrona,56.1616,15.5866,14.25,80,17,7.52,SE,1723350770
261,ol'ginskaya,47.1879,39.9492,21.5,31,60,2.29,RU,1723350772
262,thompson,55.7435,-97.8558,19.09,59,40,1.54,CA,1723350773
263,pampa,35.5362,-100.9599,22.53,94,0,7.2,US,1723350774
264,hasaki,35.7333,140.8333,37.38,75,99,6.38,JP,1723350775
265,stony plain,53.5334,-114.0021,19.86,55,0,1.54,CA,1723350776
266,katsuura,35.1333,140.3,30.31,72,100,7.8,JP,1723350778
267,port augusta,-32.5,137.7667,23.35,30,0,4.56,AU,1723350779
268,djambala,-2.5447,14.7533,18.41,87,58,2.44,CG,1723350780
269,atherton,53.5237,-2.4935,13.03,93,100,0.96,GB,1723350781
270,broken hill,-31.95,141.4333,19.95,44,1,4.7,AU,1723350636
271,ghat,24.9647,10.1728,28.67,27,4,1.67,LY,1723350784
272,birobidzhan,48.8,132.95,16.04,99,100,4.68,RU,1723350786
273,ivankiv,50.9386,29.8943,18.58,68,16,4.95,UA,1723350787
274,tsiombe,-25.3,45.4833,20.6,71,0,1.19,MG,1723350789
275,kodiak,57.79,-152.4072,12.73,94,100,5.14,US,1723350790
276,carutapera,-1.195,-46.02,25.36,82,43,3.31,BR,1723350791
277,gaspar hernandez,19.6289,-70.2811,26.03,89,41,2.12,DO,1723350792
278,melfort,52.8667,-104.6177,14.07,72,19,2.57,CA,1723350793
279,funafuti,-8.5243,179.1942,28.0,89,75,4.63,TV,1723350795
280,puerto baquerizo moreno,-0.9,-89.6,19.57,80,96,5.04,EC,1723350796
281,kolonia town,6.964,158.206,32.06,70,75,4.12,FM,1723350797
